comentario,polaridad,tema,tono,longitud,satisfaccion_min,satisfaccion_max,aspecto_variable,aspecto_valor_min,aspecto_valor_max
Desde el primer módulo he sentido que me siento muy acompañado por el profesor durante todo el curso. Valoro mucho este aspecto del curso. La forma en que guía los debates es muy valiosa.,muy_positivo,profesor,elogio,medio,4,5,preparado_clases,4,5
Mirando mi avance hasta ahora entiendo que las clases se me hacen muy pesadas y difíciles de seguir.,muy_negativo,clase,formal,corto,1,2,clase_conveniencia_dia,1,2
No disfruto las clases y a menudo desconecto. Las dinámicas grupales hacen que el tiempo pase rápido.,muy_negativo,clase,formal,medio,1,2,clase_horario,1,2
"A lo largo de estas semanas he notado que la metodología del curso me resulta correcta, sin destacar demasiado. Se nota que cada bloque responde a un propósito concreto.",neutral,metodologia,informal,medio,2,4,organiza_actividades,2,4
Analizando lo que he aprendido siento que las conexiones fallan con bastante frecuencia. Las grabaciones mantienen una calidad más que correcta.,negativo,tecnologia,formal,medio,1,3,clase_visibilidad_pantalla,1,3
La dedicación del profesor marca una diferencia enorme en mi aprendizaje. Valoro mucho este aspecto del curso.,muy_positivo,profesor,elogio,corto,4,5,accesible_y_atiende_consultas,4,5
"Analizando lo que he aprendido siento que el ritmo de clase es aceptable, aunque no siempre perfecto. Creo que aún se podrían mejorar algunos detalles. Salgo de cada clase con ideas prácticas para aplicar.",neutral,clase,constructivo,corto,2,4,clase_conveniencia_dia,2,4
Analizando lo que he aprendido siento que la experiencia tecnológica es satisfactoria en la mayoría de las clases.,positivo,tecnologia,informal,corto,3,5,clase_calidad_audio,3,5
"Si pienso en el progreso del curso, creo que la metodología fomenta la participación y me mantiene motivado.",muy_positivo,metodologia,formal,medio,4,5,grado_dificultad,4,5
Tras varias sesiones puedo decir que la atención al alumno en general es buena. Creo que aún se podrían mejorar algunos detalles. Siento que hacen un esfuerzo genuino por escucharnos.,positivo,soporte,constructivo,medio,3,5,utilidad_anuncios,3,5
A lo largo de estas semanas he notado que la mayoría de las sesiones me parecen poco aprovechables. Este punto me genera bastante frustración.,muy_negativo,clase,queja,corto,1,2,clase_duracion,1,2
Con la mente puesta en mis objetivos profesionales valoro que en general estoy contento con el curso. Creo que aún se podrían mejorar algunos detalles. Lo tengo muy presente cuando hablo de la escuela.,positivo,general,constructivo,largo,3,5,ninguno,1,5
Mi experiencia global con el curso ha sido claramente negativa. Me deja con ganas de seguir conectada a la comunidad. Me ayuda a decidir en qué módulos profundizar.,muy_negativo,general,formal,largo,1,2,ninguno,1,5
"Las clases son correctas, sin algo especialmente destacable. Para mí, marca la diferencia respecto a otros programas.",neutral,clase,informal,medio,2,4,clase_duracion,2,4
Tras varias sesiones puedo decir que me siento perdido en las clases por la falta de claridad del profesor. Este punto me genera bastante frustración. Noto que el enfoque del docente está muy actualizado. Esa impresión se mantiene con el paso de las semanas.,muy_negativo,profesor,queja,largo,1,2,recomendaria_profesor,1,2
"El ritmo de clase es aceptable, aunque no siempre perfecto.",neutral,clase,formal,corto,2,4,clase_duracion,2,4
La experiencia tecnológica es satisfactoria en la mayoría de las clases.,positivo,tecnologia,formal,corto,3,5,clase_calidad_conexion,3,5
Con la mente puesta en mis objetivos profesionales valoro que las respuestas del equipo de soporte son útiles la mayoría de las veces. Creo que aún se podrían mejorar algunos detalles. El seguimiento individual ayuda a no perder el ritmo. Lo tengo muy presente cuando hablo de la escuela.,positivo,soporte,constructivo,largo,3,5,velocidad_respuesta,3,5
"Si pienso en el progreso del curso, creo que la experiencia en clase es razonable y estable. Creo que aún se podrían mejorar algunos detalles. El ambiente que se genera invita a preguntar sin miedo.",neutral,clase,constructivo,medio,2,4,clase_duracion,2,4
Desde mi perspectiva personal considero que la metodología del curso no se adapta nada a mis necesidades.,muy_negativo,metodologia,formal,corto,1,2,contenidos_adecuados,1,2
"A veces tardan un poco en contestar, pero termina resolviéndose. Me gustaría que se introdujeran cambios en este sentido.",neutral,soporte,sugerencia,corto,2,4,velocidad_respuesta,2,4
"Al repasar mis notas concluyo que en conjunto, el curso no ha cumplido del todo mis expectativas.",negativo,general,constructivo,corto,1,3,ninguno,1,5
La dedicación del profesor marca una diferencia enorme en mi aprendizaje. La disponibilidad del profesorado genera mucha confianza. Es un aspecto que comparto también con mis compañeros.,muy_positivo,profesor,informal,largo,4,5,recomendaria_profesor,4,5
